GeneID	Pooled.screen.phenotype
PF3D7_1140100	not.classified
PF3D7_1417000	not.classified
PF3D7_0602700	not.classified
PF3D7_0526200	not.classified
PF3D7_0514700	not.classified
PF3D7_0718100	not.classified
PF3D7_1466800	not.classified
PF3D7_0818000	not.classified
PF3D7_1216000	not.classified
PF3D7_1149600	not.classified
PF3D7_1236800	not.classified
PF3D7_1207000	not.classified
PF3D7_0713500	not.classified
PF3D7_1212400	not.classified
PF3D7_1358700	not.classified
PF3D7_1443200	not.classified
PF3D7_1429400	not.classified
PF3D7_1241500	not.classified
PF3D7_1200100	not.classified
PF3D7_1306000	not.classified
PF3D7_1219000	not.classified
PF3D7_0516700	not.classified
PF3D7_0208900	not.classified
PF3D7_1224400	not.classified
PF3D7_1101100	not.classified
PF3D7_0903500	not.classified
PF3D7_0928600	not.classified
PF3D7_1041300	not.classified
PF3D7_0309300	not.classified
PF3D7_1371500	not.classified
PF3D7_0725500	not.classified
PF3D7_0415200	not.classified
PF3D7_0718300	not.classified
PF3D7_0733000	not.classified
PF3D7_0800700	not.classified
PF3D7_0805300	not.classified
PF3D7_0937200	not.classified
PF3D7_0704200	not.classified
PF3D7_1140300	not.classified
PF3D7_0315500	not.classified
PF3D7_1442400	not.classified
PF3D7_1331200	not.classified
PF3D7_0501500	not.classified
PF3D7_0414000	not.classified
PF3D7_1233200	not.classified
PF3D7_1141700	not.classified
PF3D7_0905200	not.classified
PF3D7_0607500	not.classified
PF3D7_1041000	not.classified
PF3D7_1419400	not.classified
PF3D7_0903400	not.classified
PF3D7_0321600	not.classified
PF3D7_0318500	not.classified
PF3D7_1332800	not.classified
PF3D7_1463500	not.classified
PF3D7_0732600	not.classified
PF3D7_1102200	not.classified
PF3D7_1478500	not.classified
PF3D7_1346900	not.classified
PF3D7_1475900	not.classified
PF3D7_1478600	not.classified
PF3D7_1436900	not.classified
PF3D7_1141100	not.classified
PF3D7_0732500	not.classified
PF3D7_0530800	not.classified
PF3D7_0805400	not.classified
PF3D7_0815100	not.classified
PF3D7_0801000	not.classified
PF3D7_0417200	not.classified
PF3D7_0934800	not.classified
PF3D7_0704000	not.classified
PF3D7_0926500	not.classified
PF3D7_0401900	not.classified
PF3D7_1227500	not.classified
PF3D7_1416300	not.classified
PF3D7_0411200	not.classified
PF3D7_0402300	not.classified
PF3D7_1411900	not.classified
PF3D7_1039200	not.classified
PF3D7_1450700	not.classified
PF3D7_1244100	not.classified
PF3D7_1032900	not.classified
PF3D7_1468000	not.classified
PF3D7_0403800	not.classified
PF3D7_1121400	not.classified
PF3D7_1240400	not.classified
PF3D7_1220700	not.classified
PF3D7_0702200	not.classified
PF3D7_1367900	not.classified
PF3D7_0926100	not.classified
PF3D7_0221000	not.classified
PF3D7_0911600	not.classified
PF3D7_1238400	not.classified
PF3D7_1238800	not.classified
PF3D7_0709900	not.classified
PF3D7_1001800	not.classified
PF3D7_1303400	not.classified
PF3D7_0717000	not.classified
PF3D7_0615600	not.classified
PF3D7_0602600	not.classified
PF3D7_0522900	not.classified
PF3D7_1225000	not.classified
PF3D7_1419900	not.classified
PF3D7_1021100	not.classified
PF3D7_1201500	not.classified
PF3D7_1350600	not.classified
PF3D7_0209700	not.classified
PF3D7_1216700	not.classified
PF3D7_1027100	not.classified
PF3D7_0819800	not.classified
PF3D7_1302500	not.classified
PF3D7_0317400	not.classified
PF3D7_0831500	not.classified
PF3D7_1024100	not.classified
PF3D7_0936800	not.classified
PF3D7_1348700	not.classified
PF3D7_0625100	not.classified
PF3D7_1218900	not.classified
PF3D7_1206700	not.classified
PF3D7_1146600	not.classified
PF3D7_1330300	HS.Neutral
PF3D7_0703500	HS.Neutral
PF3D7_0320200	HS.Neutral
PF3D7_0833200	HS.Neutral
PF3D7_0631100	HS.Neutral
PF3D7_1322100	HS.Neutral
PF3D7_1325500	HS.Neutral
PF3D7_1322500	HS.Neutral
PF3D7_1372300	HS.Neutral
PF3D7_0918600	HS.Neutral
PF3D7_1355500	HS.Neutral
