V1	V2
PF3D7_0321500	GO:0005634
PF3D7_0321900	GO:0005801,GO:0042493
PF3D7_0322000	GO:0003755,GO:0005634,GO:0005829,GO:0006457,GO:0016018,GO:0020036
PF3D7_0322100	GO:0016887
PF3D7_0322300	GO:0004144,GO:0005783,GO:0019432
PF3D7_0322900	GO:0003735,GO:0005634,GO:0006412,GO:0022627,GO:1903561
PF3D7_0323000	GO:0005634
PF3D7_0323400	GO:0005515,GO:0016020,GO:0020009,GO:0032991,GO:0044409,GO:0046812,GO:0051205
PF3D7_0323500	GO:0003723,GO:0004518,GO:0005634,GO:0005681
PF3D7_0323600	GO:0005737
PF3D7_0323700	GO:0000481,GO:0005634,GO:0046540
PF3D7_0323800	GO:0003729,GO:0005634
PF3D7_0324000	GO:0020036
PF3D7_0324100	GO:0016021,GO:0020036,GO:0042000
PF3D7_0324200	GO:0020036
PF3D7_0324300	GO:0020036
PF3D7_0324400	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0324600	GO:0005886,GO:0020013,GO:0033644
PF3D7_0324800	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0400100	GO:0020002,GO:0020013,GO:0020030,GO:0020033,GO:0020035,GO:0050839,GO:0098609
PF3D7_0400300	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0400400	GO:0020002,GO:0020013,GO:0020030,GO:0020033,GO:0020035,GO:0050839,GO:0098609
PF3D7_0400500	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0400700	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0400800	GO:0020013,GO:0020036
PF3D7_0400900	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0401000	GO:0020002,GO:0020033
PF3D7_0401200	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0401300	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0401400	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0401600	GO:0020036
PF3D7_0401800	GO:0005634,GO:0020036,GO:0044538
PF3D7_0401900	GO:0004467,GO:0015908,GO:0020036
PF3D7_0402000	GO:0003729,GO:0005515,GO:0005634,GO:0020005,GO:0020036,GO:0044538
PF3D7_0402100	GO:0005515,GO:0020036,GO:0043657
PF3D7_0402300	GO:0008201,GO:0020007,GO:0020008,GO:0046789,GO:0098609
PF3D7_0402400	GO:0043657
PF3D7_0402600	GO:0020013,GO:0020036
PF3D7_0403000	GO:0030533
PF3D7_0403100	GO:0005634
PF3D7_0403300	GO:0020011
PF3D7_0403500	GO:0000502,GO:0016579
PF3D7_0403700	GO:0000354,GO:0000974,GO:0003682,GO:0006270,GO:0071004
PF3D7_0404100	GO:0003677,GO:0005634,GO:0006355
PF3D7_0404300	GO:0005634
PF3D7_0404400	GO:0005515,GO:0020009,GO:0044409
PF3D7_0404500	GO:0009986,GO:0020009
PF3D7_0404700	GO:0004177,GO:0008234,GO:0020005,GO:0044164,GO:0044409,GO:0045177
PF3D7_0404800	GO:0005634
PF3D7_0404900	GO:0005515,GO:0009986,GO:0020004,GO:0046658
PF3D7_0405000	GO:0004004,GO:0016070
PF3D7_0405100	GO:0020036
